id,type,date,time
3,1,2024-08-08,20:00:00
86765,1,2024-08-08,20:01:00
114,1,2024-08-08,20:01:00
86924,1,2024-08-08,20:01:00
114,0,2024-08-09,05:41:00
86924,0,2024-08-09,05:44:00
112,0,2024-08-09,05:44:00
115,0,2024-08-09,05:44:00
86766,0,2024-08-09,05:46:00
116,0,2024-08-09,05:46:00
111,0,2024-08-09,05:46:00
3,0,2024-08-09,05:47:00
86764,0,2024-08-09,05:50:00
86763,0,2024-08-09,05:50:00
4,0,2024-08-09,05:50:00
113,0,2024-08-09,05:51:00
86765,0,2024-08-09,05:53:00
117,0,2024-08-09,05:54:00
87099,0,2024-08-09,05:55:00
86768,0,2024-08-09,05:57:00
86767,0,2024-08-09,05:57:00
115,1,2024-08-09,18:00:00
117,1,2024-08-09,18:02:00
86763,1,2024-08-09,20:00:00
86764,1,2024-08-09,20:00:00
4,1,2024-08-09,20:00:00
116,1,2024-08-09,20:00:00
113,1,2024-08-09,20:00:00
111,1,2024-08-09,20:00:00
86767,1,2024-08-09,20:00:00
86768,1,2024-08-09,20:00:00
87099,1,2024-08-09,20:00:00
86765,1,2024-08-09,20:01:00
112,1,2024-08-09,20:01:00
86924,1,2024-08-09,20:01:00
114,1,2024-08-09,20:01:00
86766,1,2024-08-09,20:01:00
3,1,2024-08-09,20:02:00
86924,0,2024-08-10,05:42:00
112,0,2024-08-10,05:42:00
86766,0,2024-08-10,05:44:00
111,0,2024-08-10,05:45:00
116,0,2024-08-10,05:48:00
115,0,2024-08-10,05:48:00
114,0,2024-08-10,05:49:00
86765,0,2024-08-10,05:50:00
3,0,2024-08-10,05:50:00
86764,0,2024-08-10,05:52:00
86763,0,2024-08-10,05:52:00
4,0,2024-08-10,05:52:00
117,0,2024-08-10,05:53:00
87099,0,2024-08-10,05:53:00
113,0,2024-08-10,05:54:00
86769,0,2024-08-10,05:54:00
86767,0,2024-08-10,05:58:00
86768,0,2024-08-10,05:58:00
86763,1,2024-08-10,18:00:00
86764,1,2024-08-10,18:00:00
113,1,2024-08-10,18:00:00
115,1,2024-08-10,18:00:00
4,1,2024-08-10,18:00:00
116,1,2024-08-10,18:00:00
117,1,2024-08-10,18:00:00
111,1,2024-08-10,18:00:00
86769,1,2024-08-10,18:00:00
87099,1,2024-08-10,18:00:00
86765,1,2024-08-10,18:01:00
86924,1,2024-08-10,18:01:00
86767,1,2024-08-10,18:01:00
3,1,2024-08-10,18:01:00
86766,1,2024-08-10,18:01:00
112,1,2024-08-10,18:02:00
86768,1,2024-08-10,18:02:00
114,1,2024-08-10,18:02:00
86924,0,2024-08-12,05:39:00
112,0,2024-08-12,05:39:00
115,0,2024-08-12,05:44:00
111,0,2024-08-12,05:46:00
86766,0,2024-08-12,05:46:00
114,0,2024-08-12,05:46:00
114,0,2024-08-12,05:47:00
3,0,2024-08-12,05:47:00
86765,0,2024-08-12,05:51:00
87099,0,2024-08-12,05:52:00
116,0,2024-08-12,05:53:00
113,0,2024-08-12,05:53:00
86764,0,2024-08-12,05:55:00
86763,0,2024-08-12,05:55:00
4,0,2024-08-12,05:55:00
117,0,2024-08-12,05:57:00
86769,0,2024-08-12,05:58:00
113,1,2024-08-12,14:30:00
115,1,2024-08-12,18:02:00
117,1,2024-08-12,18:11:00
86763,1,2024-08-12,19:30:00
86764,1,2024-08-12,19:30:00
